"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Área de atuação (Função)";"Programa de Governo";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"08/2019";"39000 - Ministério da Infraestrutura";"39000 - Ministério da Infraestrutura - Unidades com vínculo direto";"390007 - COORDENACAO-GERAL DE GESTAO DE PESSOAS";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"0,00";"706.849,31";"658.784,06";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160067 - DEPARTAMENTO DE ENGENHARIA E CONSTRUCAO";"02 - Judiciária";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"236.349,79";
"08/2019";"81000 - Ministério da Mulher, Família e Direitos Humanos";"81000 - Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto";"810006 - SECRETARIA NACIONAL DE PROTECAO GLOBAL";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"0,00";"6.000,00";"6.000,00";"0,00";
"08/2019";"81000 - Ministério da Mulher, Família e Direitos Humanos";"81000 - Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto";"810004 - COORDENACAO-GERAL DE GESTAO DE PESSOAS - MDH";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"5.798,65";"5.798,65";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"112408 - HOSPITAL DAS FORCAS ARMADAS";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"2.637.759,00";"2.585.174,18";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250061 - HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO";"10 - Saúde";"00 - NAO ATRIBUIDO";"14.442,95";"31.917,74";"30.671,45";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250052 - INSTITUTO NACIONAL DO CANCER - RJ";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"23.509,70";"20.477,67";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160018 - 12. BATALHAO DE SUPRIMENTO";"12 - Educação";"00 - NAO ATRIBUIDO";"12.960,84";"0,00";"0,00";"2.899,98";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160174 - 15º BATALHÃO DE INFANTARIA MOTORIZADO";"12 - Educação";"00 - NAO ATRIBUIDO";"4.980,00";"0,00";"0,00";"0,00";
"08/2019";"30000 - Ministério da Justiça e Segurança Pública";"30108 - Departamento de Polícia Federal";"200334 - COORDENACAO DE ADMINISTRACAO-COAD/DLOG/DPF";"06 - Segurança pública";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"209.178,95";
